concept_id,label,category,parent_id,description
pop_01,Rural Communities,population,,"Research that studies, serves, or is designed to benefit people living in rural, remote, non-metropolitan, or frontier areas. Covers rural health disparities, rural economic development, agricultural communities, small towns, and geographic isolation. Applies when rural populations are the subject or intended beneficiary of the research, not when a rural institution is merely eligible to apply."
pop_02,Urban Communities,population,,"Research that studies, serves, or is designed to benefit people living in cities, metropolitan areas, and dense urban neighbourhoods. Covers urban health, inner-city communities, metropolitan infrastructure, neighbourhood effects, and urban poverty. Applies when urban populations are the subject or intended beneficiary of the research."
pop_03,Low-Income Populations,population,,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people."
pop_04,Children and Youth,population,,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age."
pop_05,Older Adults,population,,"Research that studies, serves, or is designed to benefit elderly people, seniors, aging populations, and geriatric patients. Covers aging processes, age-related disease, dementia and cognitive decline, retirement, long-term care, and later-life wellbeing."
pop_06,Veterans,population,,"Research that studies, serves, or is designed to benefit military veterans, former service members, and their families and caregivers. Covers veteran health, post-deployment readjustment, PTSD and service-connected conditions, veteran employment, and transition to civilian life."
pop_07,Indigenous Peoples,population,,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities."
pop_08,Racial and Ethnic Minorities,population,,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity."
pop_09,Women and Girls,population,,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce."
pop_10,People with Disabilities,population,,"Research that studies, serves, or is designed to benefit people with physical, cognitive, sensory, intellectual, or developmental disabilities. Covers accessibility, assistive technology, disability rights, rehabilitation, deaf and blind communities, and neurodivergent populations, when they are the subject or beneficiary of the research."
pop_11,Immigrants and Refugees,population,,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access."
pop_12,Students,population,,"Research that studies, serves, or is designed to benefit learners enrolled in education, from K-12 pupils through undergraduate, graduate, and postdoctoral trainees. Covers student learning, achievement, retention, persistence, and educational outcomes. Applies when students are the population under study, not when an institution enrolling students is merely eligible to receive the award."
pop_13,LGBTQ+ Populations,population,,"Research that studies, serves, or is designed to benefit lesbian, gay, bisexual, transgender, queer, nonbinary, and other sexual and gender minority people. Covers LGBTQ+ health disparities, minority stress, identity, discrimination, and inclusion."
pop_14,Incarcerated Populations,population,,"Research that studies, serves, or is designed to benefit people in prisons and jails, detained and justice-involved individuals, formerly incarcerated people, and those in reentry or on probation and parole. Covers correctional health, recidivism, and reintegration."
pop_15,Homeless Populations,population,,"Research that studies, serves, or is designed to benefit people experiencing homelessness, housing instability, or unstable shelter, including unhoused individuals, families in transitional housing, and those at risk of eviction. Covers housing insecurity and its health and social consequences."
pop_16,Agricultural Workers,population,,"Research that studies, serves, or is designed to benefit farmworkers, farm labourers, migrant and seasonal agricultural workers, ranchers, and people employed in food production. Covers occupational exposure, pesticide safety, farm injury, and agricultural labour conditions."
pop_17,Healthcare Workers,population,,"Research that studies, serves, or is designed to benefit clinicians and health personnel: physicians, nurses, allied health professionals, community health workers, caregivers, and health support staff. Covers workforce burnout, clinician wellbeing, occupational exposure, training, and health workforce capacity."
pop_18,First Responders,population,,"Research that studies, serves, or is designed to benefit emergency personnel: firefighters, police officers, emergency medical technicians and paramedics, search-and-rescue teams, and disaster response workers. Covers occupational hazard, trauma exposure, and responder health and safety."
pop_19,Small Business Owners,population,,"Research that studies, serves, or is designed to benefit entrepreneurs and owners of small and medium enterprises, including minority-owned, women-owned, and veteran-owned businesses and start-up founders. Covers small business formation, survival, access to capital, and commercialisation by small firms."
pop_20,Tribal Communities,population,,"Research that studies, serves, or is designed to benefit federally recognised tribal nations, tribal governments, reservations, and their member communities as sovereign entities. Covers tribal self-governance, tribal colleges, and government-to-government partnership. Distinct from Indigenous Peoples, which refers to Indigenous individuals and cultures more broadly."
