concept_id,label,category,parent_id,description
method_01,Machine Learning,method,,"Research that uses or develops machine learning: supervised and unsupervised learning, predictive modelling, classification and regression algorithms, feature learning, and artificial intelligence approaches where a system improves from data rather than following fixed rules. Applies when learning from data is a method the work uses or advances."
method_02,Deep Learning,method,,"Research that uses or develops deep neural networks: multi-layer architectures, convolutional and recurrent networks, transformers, foundation models, and representation learning. A specialisation of machine learning distinguished by learned hierarchical representations."
method_03,Natural Language Processing,method,,"Research that uses or develops computational analysis of human language: text mining, information extraction, language models, speech recognition, machine translation, sentiment and discourse analysis, and corpus linguistics applied computationally."
method_04,Computer Vision,method,,"Research that uses or develops automated interpretation of images and video: object detection and recognition, image segmentation, visual perception for robots and embodied systems, medical image analysis, and scene understanding from visual sensors."
method_05,Randomized Controlled Trial,method,,"Research using experimental designs with random assignment of participants to treatment and control or comparison conditions, including randomised trials, cluster-randomised designs, and controlled intervention studies where randomisation establishes causal inference."
method_06,Survey Research,method,,"Research collecting original data through questionnaires, structured interviews, polls, or survey instruments administered to a sample of respondents. Covers survey design, sampling frames, panel surveys, and self-reported measurement of attitudes, behaviours, or conditions."
method_07,Qualitative Research,method,,"Research using non-numerical evidence: in-depth interviews, focus groups, participant observation, textual and document analysis, case studies, and interpretive or grounded-theory approaches that seek meaning and context rather than measurement."
method_08,Mixed Methods Research,method,,"Research deliberately combining quantitative and qualitative approaches in one design, integrating numerical measurement with interviews, observation, or case study evidence so the two strands inform each other."
method_09,Community-Based Participatory Research,method,,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach."
method_10,Longitudinal Study,method,,"Research following the same individuals, cohorts, or units repeatedly over time: panel studies, cohort designs, birth cohorts, and repeated-measures follow-up used to observe change and trajectories."
method_11,Geospatial Analysis,method,,"Research analysing geographic and spatial data: geographic information systems, spatial statistics, mapping, location-based analysis, spatial autocorrelation, and geographic modelling of phenomena across space."
method_12,Statistical Modeling,method,,"Research using formal statistical models to describe relationships and make inferences: regression, multilevel and hierarchical models, Bayesian inference, econometric estimation, causal inference methods, and time-series analysis."
method_13,Simulation and Modeling,method,,"Research using computational models to represent real-world systems: numerical simulation, agent-based modelling, Monte Carlo methods, digital twins, and physics-based or process-based models used to explore system behaviour."
method_14,Field Experiment,method,,"Research conducting experiments or systematic data collection in real-world settings rather than laboratories: field trials, field campaigns, fieldwork, site-based observation, and in-situ measurement in the natural or social setting under study."
method_15,Ethnography,method,,"Research using immersive, sustained observation of people in their own social and cultural settings: participant observation, fieldnotes, and ethnographic interviewing to produce situated accounts of practice and culture."
method_16,Meta-Analysis,method,,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings."
method_17,Data Science,method,,"Research applying computational and statistical methods to extract knowledge from large or complex datasets: data mining, big data analytics, data-driven discovery, data curation and integration, and scalable analysis pipelines."
method_18,Remote Sensing,method,,"Research acquiring measurements at a distance using sensors: satellite and airborne imagery, LiDAR, radar, hyperspectral sensing, and Earth-observation data used to characterise surfaces, atmosphere, or oceans."
method_19,Bioinformatics,method,,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines."
method_20,Clinical Trial,method,,"Research testing medical or health interventions in human participants to assess safety, efficacy, or effectiveness: phased clinical studies, pragmatic trials, and clinical intervention protocols in patient populations."
method_21,Policy Analysis,method,,"Research systematically evaluating public policies and their alternatives: policy evaluation, regulatory and cost-benefit analysis, implementation research, and assessment of programme or legislative outcomes."
method_22,Network Analysis,method,,"Research analysing relational structure between entities: social network analysis, graph-theoretic methods, network topology and centrality, and modelling of connections among people, organisations, or biological units."
method_23,Participatory Action Research,method,,"Research in which participants act as co-researchers to investigate and change their own circumstances, iterating between inquiry and action. Distinguished by an explicit change-oriented, participant-led cycle."
method_24,Systems Thinking,method,,"Research treating the object of study as an interacting whole: systems approaches, complexity science, feedback loops, emergent behaviour, and analysis of interdependencies among components over time."
method_25,Citizen Science,method,,"Research in which members of the public contribute directly to data collection, classification, or analysis as volunteer participants in the scientific process, such as volunteer monitoring networks and crowdsourced observation. Distinguished by public volunteers generating research data; does not apply to broadening participation, outreach, education, or public engagement in general."
